name,slug,value,date_of_information,ranking,region
"China","china","791,383,000","2021 est.","1","East and Southeast Asia"
"India","india","476,670,000","2021 est.","2","South Asia"
"United States","united-states","164,797,000","2021 est.","3","North America"
"Indonesia","indonesia","138,119,000","2021 est.","4","East and Southeast Asia"
"Brazil","brazil","99,470,000","2021 est.","5","South America"
"Pakistan","pakistan","73,133,000","2021 est.","6","South Asia"
"Russia","russia","72,444,000","2021 est.","7","Central Asia"
"Bangladesh","bangladesh","70,961,000","2021 est.","8","South Asia"
"Japan","japan","68,629,000","2021 est.","9","East and Southeast Asia"
"Nigeria","nigeria","65,116,000","2021 est.","10","Africa"
"Ethiopia","ethiopia","56,664,000","2021 est.","11","Africa"
"Vietnam","vietnam","56,203,000","2021 est.","12","East and Southeast Asia"
"Mexico","mexico","56,132,000","2021 est.","13","North America"
"Philippines","philippines","44,242,000","2021 est.","14","East and Southeast Asia"
"Germany","germany","43,968,000","2021 est.","15","Europe"
"Thailand","thailand","40,213,000","2021 est.","16","East and Southeast Asia"
"United Kingdom","united-kingdom","34,637,000","2021 est.","17","Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","33,382,000","2021 est.","18","Africa"
"Turkey (Turkiye)","turkey-turkiye","32,554,000","2021 est.","19","Middle East"
"France","france","31,132,000","2021 est.","20","Europe"
"Egypt","egypt","30,179,000","2021 est.","21","Africa"
"Tanzania","tanzania","29,863,000","2021 est.","22","Africa"
"Korea, South","korea-south","28,674,000","2021 est.","23","East and Southeast Asia"
"Iran","iran","27,682,000","2021 est.","24","Middle East"
"Colombia","colombia","26,137,000","2021 est.","25","South America"
"Italy","italy","25,012,000","2021 est.","26","Europe"
"Kenya","kenya","23,915,000","2021 est.","27","Africa"
"Spain","spain","23,382,000","2021 est.","28","Europe"
"South Africa","south-africa","22,398,000","2021 est.","29","Africa"
"Burma","burma","22,122,000","2021 est.","30","East and Southeast Asia"
"Argentina","argentina","21,206,000","2021 est.","31","South America"
"Canada","canada","21,017,000","2021 est.","32","North America"
"Ukraine","ukraine","20,463,000","2021 est.","33","Europe"
"Peru","peru","18,352,000","2021 est.","34","South America"
"Poland","poland","18,212,000","2021 est.","35","Europe"
"Korea, North","korea-north","17,160,000","2021 est.","36","East and Southeast Asia"
"Uganda","uganda","16,995,000","2021 est.","37","Africa"
"Nepal","nepal","16,884,000","2021 est.","38","South Asia"
"Malaysia","malaysia","16,740,000","2021 est.","39","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","16,060,000","2021 est.","40","Middle East"
"Madagascar","madagascar","14,813,000","2021 est.","41","Africa"
"Angola","angola","14,462,000","2021 est.","42","Africa"
"Mozambique","mozambique","14,137,000","2021 est.","43","Africa"
"Ghana","ghana","14,095,000","2021 est.","44","Africa"
"Uzbekistan","uzbekistan","14,094,000","2021 est.","45","Central Asia"
"Australia","australia","13,786,000","2021 est.","46","Australia and Oceania"
"Sudan","sudan","12,921,000","2021 est.","47","Africa"
"Algeria","algeria","12,312,000","2021 est.","48","Africa"
"Morocco","morocco","11,814,000","2021 est.","49","Africa"
"Cameroon","cameroon","11,810,000","2021 est.","50","Africa"
"Taiwan","taiwan","11,498,000","2020 est.","51","East and Southeast Asia"
"Iraq","iraq","11,184,000","2021 est.","52","Middle East"
"Venezuela","venezuela","10,245,000","2021 est.","53","South America"
"Netherlands","netherlands","9,902,000","2021 est.","54","Europe"
"Niger","niger","9,411,000","2021 est.","55","Africa"
"Afghanistan","afghanistan","9,390,000","2021 est.","56","South Asia"
"Cambodia","cambodia","9,345,000","2021 est.","57","East and Southeast Asia"
"Kazakhstan","kazakhstan","9,248,000","2021 est.","58","Central Asia"
"Cote d'Ivoire","cote-divoire","8,876,000","2021 est.","59","Africa"
"Chile","chile","8,684,000","2021 est.","60","South America"
